azimuth_deg,horizon_deg,distance_m,height_taw,class_code
273.0,0.6469846524916334,1618.0,26.899999618530273,3
273.1,0.6248543853642112,1578.0,25.829999923706055,3
273.20000000000005,0.7421684677632984,1650.0,30.010000228881836,3
273.30000000000007,0.6745212650865464,1584.0,27.270000457763672,3
273.4000000000001,0.7182823736400009,1584.0,28.479999542236328,3
273.5000000000001,0.7032741152777333,1586.0,28.09000015258789,3
273.60000000000014,0.6520519041458938,1566.0,26.440000534057617,3
273.70000000000016,0.6880245504799458,1560.0,27.350000381469727,3
273.8000000000002,0.7311385034449297,1562.0,28.549999237060547,3
273.9000000000002,0.6289876364156992,1558.0,25.719999313354492,3
274.0000000000002,0.6961236060521035,1564.0,27.6200008392334,3
274.10000000000025,0.6525182783409036,1750.0,28.59000015258789,3
274.2000000000003,0.6602568505391201,4490.0,61.56999969482422,5
274.3000000000003,0.6622574553810113,1606.0,27.190000534057617,3
274.4000000000003,0.6216929138627234,1594.0,25.920000076293945,3
274.50000000000034,0.6596790073237556,1590.0,26.93000030517578,3
274.60000000000036,0.6409213122690276,1774.0,28.510000228881836,3
274.7000000000004,0.6268821458920731,1778.0,28.1200008392334,3
274.8000000000004,0.6976015089211296,1614.0,28.280000686645508,3
274.90000000000043,0.6763050110110398,1614.0,27.68000030517578,3
275.00000000000045,0.7007456884037846,1586.0,28.020000457763672,3
275.1000000000005,0.6399218529525366,1632.0,26.860000610351562,3
275.2000000000005,0.6138793889627372,1634.0,26.139999389648438,3
275.3000000000005,0.5568812932518477,1718.0,25.350000381469727,3
275.40000000000055,0.544559160890422,1608.0,23.90999984741211,3
275.50000000000057,0.6534644084917636,1610.0,26.989999771118164,3
275.6000000000006,0.6154170569183087,1630.0,26.139999389648438,3
275.7000000000006,0.7699637683162747,1628.0,30.510000228881836,3
275.80000000000064,0.6198684338530682,1614.0,26.09000015258789,3
275.90000000000066,0.6050158210347868,1612.0,25.649999618530273,3
276.0000000000007,0.6459224864537443,1618.0,26.8700008392334,3
276.1000000000007,0.5838670502743234,1600.0,24.93000030517578,3
276.2000000000007,0.562677800344416,1642.0,24.760000228881836,3
276.30000000000075,0.6351912036012833,1628.0,26.68000030517578,3
276.4000000000008,0.6039016758438149,1640.0,25.920000076293945,3
276.5000000000008,0.6372344888892241,1622.0,26.670000076293945,3
276.6000000000008,0.6424276007835973,1638.0,27.0,3
276.70000000000084,0.5553450029332584,1640.0,24.530000686645508,3
276.80000000000086,0.52960584553441,1646.0,23.850000381469727,3
276.9000000000009,0.5250885173256883,1630.0,23.56999969482422,3
277.0000000000009,0.5939775121662371,1630.0,25.530000686645508,3
277.10000000000093,0.6396489569127938,1652.0,27.079999923706055,3
277.20000000000095,0.662340446260858,912.0,19.049999237060547,3
277.300000000001,0.6592394712157787,1678.0,27.950000762939453,3
277.400000000001,0.6652187350998761,1648.0,27.770000457763672,3
277.500000000001,0.6655663647338723,1648.0,27.780000686645508,3
277.60000000000105,0.5685677414655201,1650.0,25.010000228881836,3
277.70000000000107,0.5793782049437335,1646.0,25.280000686645508,3
277.8000000000011,0.5780514609603707,1640.0,25.18000030517578,3
277.9000000000011,0.6349827604145731,900.0,18.479999542236328,3
278.00000000000114,0.6693360235424309,878.0,18.760000228881836,3
278.10000000000116,0.6458039494231129,900.0,18.649999618530273,3
278.2000000000012,0.7002668851707428,872.0,19.15999984741211,3
278.3000000000012,0.6793953592676738,886.0,19.010000228881836,3
278.4000000000012,0.6386472449030173,1622.0,26.709999084472656,3
278.50000000000125,0.6045215673332753,1630.0,25.829999923706055,3
278.6000000000013,0.6787501279098554,1864.0,30.770000457763672,3
278.7000000000013,0.7333359964903283,1862.0,32.52000045776367,3
278.8000000000013,0.8061322784063272,1886.0,35.22999954223633,3
278.90000000000134,0.7970207487946973,1874.0,34.7599983215332,3
279.00000000000136,0.8134942161862148,1872.0,35.27000045776367,3
279.1000000000014,0.6252363452203898,874.0,18.040000915527344,3
279.2000000000014,0.6048430175099042,846.0,17.43000030517578,3
279.30000000000143,0.6468277484899049,846.0,18.049999237060547,3
279.40000000000146,0.7541476774970616,948.0,20.989999771118164,3
279.5000000000015,0.7461341831121472,952.0,20.90999984741211,3
279.6000000000015,0.7437272640197542,952.0,20.8700008392334,3
279.7000000000015,0.8247324888565747,944.0,22.100000381469727,3
279.80000000000155,0.8357240727954816,948.0,22.34000015258789,3
279.90000000000157,0.9163602965919144,944.0,23.610000610351562,3
280.0000000000016,0.7775575711518804,946.0,21.350000381469727,3
280.1000000000016,0.7695110318204176,944.0,21.190000534057617,3
280.20000000000164,0.82230514754664,944.0,22.059999465942383,3
280.30000000000166,0.8653043054665368,950.0,22.860000610351562,3
280.4000000000017,0.759586210322905,948.0,21.079999923706055,3
280.5000000000017,0.5561812811347162,854.0,16.790000915527344,3
280.6000000000017,0.6588189796496643,854.0,18.31999969482422,3
280.70000000000175,0.6726367973115451,840.0,18.360000610351562,3
280.8000000000018,0.6981839871242345,942.0,19.989999771118164,3
280.9000000000018,0.7709882091717354,940.0,21.15999984741211,3
281.0000000000018,0.8155529234495705,942.0,21.920000076293945,3
281.10000000000184,1.014131113301409,940.0,25.149999618530273,3
281.20000000000186,1.0519097131522355,940.0,25.770000457763672,3
281.3000000000019,1.0212216311130584,948.0,25.40999984741211,3
281.4000000000019,0.9285377291018849,936.0,23.68000030517578,3
281.50000000000193,0.7657456914777983,936.0,21.020000457763672,3
281.60000000000196,1.0135217606087736,940.0,25.139999389648438,3
281.700000000002,0.7819444909787342,948.0,21.450000762939453,3
281.800000000002,0.5716736554560815,944.0,17.93000030517578,3
281.900000000002,0.584316062043891,824.0,16.899999618530273,3
282.00000000000205,0.5783466484968923,1676.0,25.559999465942383,3
282.10000000000207,0.6036931763887657,826.0,17.200000762939453,3
282.2000000000021,0.9483487625718285,904.0,23.469999313354492,4
282.3000000000021,0.9155396691885089,902.0,22.920000076293945,4
282.40000000000214,0.9385924515072881,900.0,23.25,4
282.50000000000216,0.9110943609120364,902.0,22.850000381469727,4
282.6000000000022,0.9335008573806426,900.0,23.170000076293945,4
282.7000000000022,0.9025376063507912,896.0,22.6200008392334,3
282.8000000000022,0.8979606244677744,898.0,22.579999923706055,4
282.90000000000225,0.8985985198861548,898.0,22.59000015258789,4
283.0000000000023,0.8968554518275047,984.0,23.920000076293945,3
283.1000000000023,0.8933128975183356,902.0,22.56999969482422,4
283.2000000000023,0.8957172623879157,918.0,22.860000610351562,4
283.30000000000234,1.0517063636193855,918.0,25.360000610351562,4
283.40000000000236,1.0952862606863742,916.0,26.020000457763672,4
283.5000000000024,1.0929842367444134,920.0,26.059999465942383,4
283.6000000000024,1.0820319798815616,914.0,25.770000457763672,4
283.70000000000243,1.097161996858844,916.0,26.049999237060547,4
283.80000000000246,1.1830154759273044,912.0,27.34000015258789,4
283.9000000000025,1.1189605040949866,912.0,26.31999969482422,4
284.0000000000025,0.9122021284722779,914.0,23.059999465942383,4
284.1000000000025,1.0190966160648163,888.0,24.299999237060547,3
284.20000000000255,1.0459781155769599,886.0,24.68000030517578,3
284.30000000000257,1.0545723197737047,888.0,24.850000381469727,3
284.4000000000026,1.0155939500039297,886.0,24.209999084472656,3
284.5000000000026,0.9557559139605444,994.0,25.100000381469727,3
284.60000000000264,1.0500368011680894,998.0,26.809999465942383,3
284.70000000000266,1.093443525758909,904.0,25.760000228881836,4
284.8000000000027,1.1087155258912795,906.0,26.040000915527344,4
284.9000000000027,1.1046973107359739,900.0,25.860000610351562,4
285.00000000000273,1.1000706608044715,896.0,25.709999084472656,4
285.10000000000275,1.1460616077542018,900.0,26.510000228881836,4
285.2000000000028,1.1000706608044715,896.0,25.709999084472656,4
285.3000000000028,1.0912276384332489,898.0,25.610000610351562,4
285.4000000000028,1.0875148378818622,900.0,25.59000015258789,4
285.50000000000284,1.0825484668528667,902.0,25.549999237060547,4
285.60000000000286,1.0807719828643023,904.0,25.559999465942383,4
285.7000000000029,1.08013839084911,904.0,25.549999237060547,4
285.8000000000029,1.079003305476435,906.0,25.56999969482422,4
285.90000000000293,1.2685335239620732,920.0,28.8799991607666,4
286.00000000000296,1.269440550479356,918.0,28.850000381469727,4
286.100000000003,1.286885218892817,922.0,29.219999313354492,4
286.200000000003,1.2896975088907932,920.0,29.219999313354492,4
286.300000000003,1.291898178650134,918.0,29.209999084472656,4
286.40000000000305,1.471891677150066,984.0,33.79999923706055,3
286.50000000000307,1.2192372614535143,978.0,29.329999923706055,3
286.6000000000031,1.1203430871042446,982.0,27.719999313354492,3
286.7000000000031,1.2713529265515424,978.0,30.219999313354492,3
286.80000000000314,1.116800388875227,980.0,27.6200008392334,3
286.90000000000316,1.0566093966879528,924.0,25.549999237060547,4
287.0000000000032,1.0555492913314404,926.0,25.56999969482422,4
287.1000000000032,1.0757489003429064,932.0,26.010000228881836,4
287.20000000000323,1.107090379052889,932.0,26.520000457763672,4
287.30000000000325,1.1082545492259062,930.0,26.5,4
287.4000000000033,0.7947968352155438,2010.0,36.61000061035156,3
287.5000000000033,0.59875104624769,916.0,18.079999923706055,3
287.6000000000033,0.40457925560045643,1660.0,20.360000610351562,3
287.70000000000334,0.686047370660074,918.0,19.5,3
287.80000000000337,0.46566816419442464,1660.0,22.1299991607666,3
287.9000000000034,0.48520457438556225,962.0,16.65999984741211,3
288.0000000000034,0.7565641860999691,954.0,21.110000610351562,3
288.10000000000343,0.9140930007294816,960.0,23.829999923706055,3
288.20000000000346,0.961687519820288,956.0,24.559999465942383,3
288.3000000000035,1.0146713250001016,958.0,25.479999542236328,3
288.4000000000035,1.0567806535634798,954.0,26.110000610351562,3
288.5000000000035,1.023639619461656,958.0,25.6299991607666,3
288.60000000000355,0.9937506195600716,962.0,25.200000762939453,3
288.70000000000357,1.0086923963605192,958.0,25.3799991607666,3
288.8000000000036,1.0520352342843386,948.0,25.920000076293945,3
288.9000000000036,1.1227229092875926,948.0,27.09000015258789,3
289.00000000000364,1.0908027159348777,950.0,26.600000381469727,3
289.10000000000366,1.1771776629427615,946.0,27.950000762939453,3
289.2000000000037,1.1419930986841593,964.0,27.729999542236328,3
289.3000000000037,1.1027071162378235,962.0,27.030000686645508,3
289.40000000000373,1.2106153573679008,960.0,28.799999237060547,3
289.50000000000375,1.326138743702333,958.0,30.690000534057617,3
289.6000000000038,1.29083134785523,962.0,30.190000534057617,3
289.7000000000038,1.1147607323369746,968.0,27.350000381469727,3
289.8000000000038,1.0102950066523897,970.0,25.6200008392334,3
289.90000000000384,1.0740671304533393,970.0,26.700000762939453,3
290.00000000000387,1.077951987582024,966.0,26.690000534057617,3
290.1000000000039,1.2131300767053983,966.0,28.969999313354492,3
290.2000000000039,0.9312312300556259,962.0,24.149999618530273,3
290.30000000000393,0.7435782530770214,720.0,17.829999923706055,3
290.40000000000396,0.7386468371253059,970.0,21.020000457763672,3
290.500000000004,0.7690385824957631,720.0,18.149999618530273,3
290.600000000004,0.5729974350451021,1704.0,25.690000534057617,3
290.700000000004,0.6261179798418244,1704.0,27.270000457763672,3
