azimuth_deg,horizon_deg,distance_m,height_taw,class_code
273.0,0.9033378909101932,1464.0,36.81999969482422,3
273.1,0.8749595369394675,1454.0,35.939998626708984,3
273.20000000000005,0.7971627245746643,1460.0,34.04999923706055,3
273.30000000000007,0.8714784951409934,1450.0,35.790000915527344,3
273.4000000000001,0.8963664901934313,1450.0,36.41999816894531,3
273.5000000000001,0.8587921793882424,1456.0,35.560001373291016,3
273.60000000000014,0.8017444644860767,1456.0,34.11000061035156,3
273.70000000000016,0.8962290001729994,1466.0,36.66999816894531,3
273.8000000000002,0.8906593663485776,1456.0,36.369998931884766,3
273.9000000000002,0.813568629052519,1524.0,35.38999938964844,3
274.0000000000002,0.892958101011334,1458.0,36.459999084472656,3
274.10000000000025,0.8669174476564608,1526.0,36.84000015258789,3
274.2000000000003,0.8395249951605076,1528.0,36.13999938964844,3
274.3000000000003,0.5636337928936053,1500.0,28.5,3
274.4000000000003,1.0654030892099797,1228.0,36.529998779296875,3
274.50000000000034,0.537122497142495,1514.0,27.940000534057617,3
274.60000000000036,0.5674874029152165,482.0,18.3799991607666,3
274.7000000000004,0.5187911555147796,1508.0,27.399999618530273,3
274.8000000000004,0.7130209331957771,1222.0,28.899999618530273,3
274.90000000000043,0.4499002016142525,1496.0,25.489999771118164,3
275.00000000000045,0.4696298512016229,1468.0,25.770000457763672,3
275.1000000000005,0.7598057897732432,1208.0,29.709999084472656,4
275.2000000000005,0.8838228772338853,1216.0,32.45000076293945,4
275.3000000000005,0.7663064266562857,1206.0,29.81999969482422,3
275.40000000000055,0.8900790121456018,1212.0,32.52000045776367,4
275.50000000000057,1.297221535427994,1210.0,41.09000015258789,4
275.6000000000006,0.7779452919204647,1210.0,30.1200008392334,4
275.7000000000006,0.8033446434317355,1218.0,30.770000457763672,3
275.80000000000064,0.8405145754754032,1220.0,31.59000015258789,3
275.90000000000066,0.8092586500982889,1212.0,30.809999465942383,4
276.0000000000007,1.0184609856320765,1186.0,34.77000045776367,3
276.1000000000007,1.241998349323169,1192.0,39.529998779296875,3
276.2000000000007,1.652605051127315,1200.0,48.310001373291016,3
276.30000000000075,1.2823179060707937,1208.0,40.72999954223633,4
276.4000000000008,1.0842303199745038,1210.0,36.59000015258789,4
276.5000000000008,0.9873575474938728,1246.0,35.16999816894531,3
276.6000000000008,0.7613751050312153,1210.0,29.770000457763672,4
276.70000000000084,0.7697644212757753,1208.0,29.920000076293945,4
276.80000000000086,0.8054775049626894,1212.0,30.729999542236328,4
276.9000000000009,1.3903572659128465,1242.0,43.84000015258789,3
277.0000000000009,0.7658568834734711,1220.0,30.0,3
277.10000000000093,0.7740323790807306,1208.0,30.010000228881836,4
277.20000000000095,0.7594813199442483,1210.0,29.729999542236328,4
277.300000000001,0.9729711191391308,704.0,25.579999923706055,4
277.400000000001,1.0459181129444046,708.0,26.549999237060547,4
